"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Oct 20 15:52:29 GMT 2024","Sun Oct 20 15:53:05 GMT 2024","36840","","","","","","Validate Council Output [WestBerkshireCouncil]",""
"failed","Sun Oct 20 15:35:05 GMT 2024","Sun Oct 20 15:41:22 GMT 2024","377624","","","","","","Validate Council Output [PrestonCityCouncil]",""
"passed","Sun Oct 20 15:15:42 GMT 2024","Sun Oct 20 15:15:43 GMT 2024","1026","","","","","","Validate Council Output [AylesburyValeCouncil]",""
"passed","Sun Oct 20 15:36:22 GMT 2024","Sun Oct 20 15:36:24 GMT 2024","2213","","","","","","Validate Council Output [NottinghamCityCouncil]",""
"passed","Sun Oct 20 15:25:04 GMT 2024","Sun Oct 20 15:25:06 GMT 2024","1967","","","","","","Validate Council Output [EastleighBoroughCouncil]",""
"passed","Sun Oct 20 15:18:14 GMT 2024","Sun Oct 20 15:18:15 GMT 2024","452","","","","","","Validate Council Output [GedlingBoroughCouncil]",""
"passed","Sun Oct 20 15:31:33 GMT 2024","Sun Oct 20 15:31:34 GMT 2024","977","","","","","","Validate Council Output [LiverpoolCityCouncil]",""
"passed","Sun Oct 20 15:52:29 GMT 2024","Sun Oct 20 15:52:30 GMT 2024","1400","","","","","","Validate Council Output [WestLindseyDistrictCouncil]",""
"passed","Sun Oct 20 15:18:15 GMT 2024","Sun Oct 20 15:18:17 GMT 2024","1977","","","","","","Validate Council Output [GlasgowCityCouncil]",""
"passed","Sun Oct 20 15:31:33 GMT 2024","Sun Oct 20 15:31:39 GMT 2024","6748","","","","","","Validate Council Output [HullCityCouncil]",""
"passed","Sun Oct 20 15:37:00 GMT 2024","Sun Oct 20 15:37:02 GMT 2024","1240","","","","","","Validate Council Output [StaffordBoroughCouncil]",""
"passed","Sun Oct 20 15:15:48 GMT 2024","Sun Oct 20 15:15:50 GMT 2024","1758","","","","","","Validate Council Output [DartfordBoroughCouncil]",""
"passed","Sun Oct 20 15:16:27 GMT 2024","Sun Oct 20 15:16:29 GMT 2024","1185","","","","","","Validate Council Output [BarnsleyMBCouncil]",""
