"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","42","Validate Council Output [NorthKestevenDistrictCouncil]","","Fri Nov 01 00:38:59 GMT 2024","failed","Fri Nov 01 00:38:59 GMT 2024","","","",""
"","820","Validate Council Output [SouthGloucestershireCouncil]","","Fri Nov 01 00:39:11 GMT 2024","passed","Fri Nov 01 00:39:12 GMT 2024","","","",""
"","47854","Validate Council Output [UttlesfordDistrictCouncil]","","Fri Nov 01 00:50:01 GMT 2024","passed","Fri Nov 01 00:50:49 GMT 2024","","","",""
"","738","Validate Council Output [AdurAndWorthingCouncils]","","Fri Nov 01 00:01:15 GMT 2024","passed","Fri Nov 01 00:01:16 GMT 2024","","","",""
"","10137","Validate Council Output [NorthLincolnshireCouncil]","","Fri Nov 01 00:39:00 GMT 2024","passed","Fri Nov 01 00:39:10 GMT 2024","","","",""
"","4032","Validate Council Output [NottinghamCityCouncil]","","Fri Nov 01 00:33:41 GMT 2024","passed","Fri Nov 01 00:33:45 GMT 2024","","","",""
"","17461","Validate Council Output [LondonBoroughRedbridge]","","Fri Nov 01 00:33:18 GMT 2024","passed","Fri Nov 01 00:33:36 GMT 2024","","","",""
"","1012","Validate Council Output [CastlepointDistrictCouncil]","","Fri Nov 01 00:01:53 GMT 2024","failed","Fri Nov 01 00:01:54 GMT 2024","","","",""
"","1695","Validate Council Output [WestMorlandAndFurness]","","Fri Nov 01 00:51:21 GMT 2024","passed","Fri Nov 01 00:51:23 GMT 2024","","","",""
"","2462","Validate Council Output [SheffieldCityCouncil]","","Fri Nov 01 00:39:32 GMT 2024","passed","Fri Nov 01 00:39:35 GMT 2024","","","",""
"","1602","Validate Council Output [NorthYorkshire]","","Fri Nov 01 00:33:27 GMT 2024","passed","Fri Nov 01 00:33:28 GMT 2024","","","",""
"","391","Validate Council Output [CheshireEastCouncil]","","Fri Nov 01 00:08:46 GMT 2024","failed","Fri Nov 01 00:08:46 GMT 2024","","","",""
"","305213","Validate Council Output [StaffordshireMoorlandsDistrictCouncil]","","Fri Nov 01 00:40:01 GMT 2024","failed","Fri Nov 01 00:45:06 GMT 2024","","","",""
"","1265","Validate Council Output [MaldonDistrictCouncil]","","Fri Nov 01 00:33:38 GMT 2024","passed","Fri Nov 01 00:33:39 GMT 2024","","","",""
"","9000","Validate Council Output [NorthNorthamptonshireCouncil]","","Fri Nov 01 00:39:48 GMT 2024","passed","Fri Nov 01 00:39:57 GMT 2024","","","",""
"","1508","Validate Council Output [BedfordshireCouncil]","","Fri Nov 01 00:01:15 GMT 2024","passed","Fri Nov 01 00:01:17 GMT 2024","","","",""
"","300032","Validate Council Output [EastRenfrewshireCouncil]","","Fri Nov 01 00:19:52 GMT 2024","failed","Fri Nov 01 00:24:52 GMT 2024","","","",""
"","2228","Validate Council Output [LutonBoroughCouncil]","","Fri Nov 01 00:33:36 GMT 2024","passed","Fri Nov 01 00:33:38 GMT 2024","","","",""
"","300009","Validate Council Output [ForestOfDeanDistrictCouncil]","","Fri Nov 01 00:14:45 GMT 2024","failed","Fri Nov 01 00:19:45 GMT 2024","","","",""
"","6839","Validate Council Output [TandridgeDistrictCouncil]","","Fri Nov 01 00:44:50 GMT 2024","passed","Fri Nov 01 00:44:57 GMT 2024","","","",""
"","300015","Validate Council Output [BlackburnCouncil]","","Fri Nov 01 00:01:41 GMT 2024","failed","Fri Nov 01 00:06:41 GMT 2024","","","",""
"","2322","Validate Council Output [SouthCambridgeshireCouncil]","","Fri Nov 01 00:39:07 GMT 2024","passed","Fri Nov 01 00:39:09 GMT 2024","","","",""
"","17124","Validate Council Output [WinchesterCityCouncil]","","Fri Nov 01 00:51:22 GMT 2024","passed","Fri Nov 01 00:51:39 GMT 2024","","","",""
"","1570","Validate Council Output [LisburnCastlereaghCityCouncil]","","Fri Nov 01 00:32:41 GMT 2024","passed","Fri Nov 01 00:32:43 GMT 2024","","","",""
"","1913","Validate Council Output [MidlothianCouncil]","","Fri Nov 01 00:29:55 GMT 2024","passed","Fri Nov 01 00:29:57 GMT 2024","","","",""
"","812","Validate Council Output [LiverpoolCityCouncil]","","Fri Nov 01 00:32:43 GMT 2024","passed","Fri Nov 01 00:32:43 GMT 2024","","","",""
